study,year,pub_year,country,iso3,group,gender,or,authors,title,journal,doi,study_stage,lat,lon,update_date,area
Bengtsson et al. (2012),2010,2012,Sweden,SWE,Arabic/Muslim,Male,0.508,"Ragnar Bengtsson, Ellis Iverman, Björn Tyrefors Hinnerich",Gender and ethnic discrimination in the rental housing market,Applied Economics Letters,10.1080/13504851.2011.564125,Completed,,,,
Bengtsson et al. (2012),2010,2012,Sweden,SWE,Arabic/Muslim,Both,0.776,"Ragnar Bengtsson, Ellis Iverman, Björn Tyrefors Hinnerich",Gender and ethnic discrimination in the rental housing market,Applied Economics Letters,10.1080/13504851.2011.564125,Completed,,,,
Bosch et al. (2015),2010,2015,Spain,ESP,Moroccan,Female,0.636,"Mariano Bosch, M. Ángeles Carnero, Lídia Farré",Rental housing discrimination and the persistence of ethnic enclaves,SERIEs (Journal of the Spanish Economic Association),10.1007/s13209-015-0122-5,Completed,,,,
Bosch et al. (2015),2010,2015,Spain,ESP,Moroccan,Male,0.362,"Mariano Bosch, M. Ángeles Carnero, Lídia Farré",Rental housing discrimination and the persistence of ethnic enclaves,SERIEs (Journal of the Spanish Economic Association),10.1007/s13209-015-0122-5,Completed,,,,
Bosch et al. (2015),2010,2015,Spain,ESP,Moroccan,Both,0.456,"Mariano Bosch, M. Ángeles Carnero, Lídia Farré",Rental housing discrimination and the persistence of ethnic enclaves,SERIEs (Journal of the Spanish Economic Association),10.1007/s13209-015-0122-5,Completed,,,,
Bunel et al. (2019),2019,2019,New Caledonia,NCL,Kanak,Both,0.692,"Mathieu Bunel, Samuel Gorohouna, Yannick L'Horty, Pascale Petit, Catherine Ris",Ethnic Discrimination in the Rental Housing Market: An Experiment in New Caledonia,International Regional Science Review,10.1177/0160017617739065,Completed,,,,
Bartos et al. (2016),2010,2016,Czech Republic,CZE,Asian,Both,0.432,"Vojtěch Bartoš, Michal Bauer, Julie Chytilová, Filip Matějka",Attention Discrimination: Theory and Field Experiments with Monitoring Information Acquisition,American Economic Review,10.1257/aer.20140571,Completed,,,,
Bartos et al. (2016),2010,2016,Czech Republic,CZE,Roma,Both,0.247,"Vojtěch Bartoš, Michal Bauer, Julie Chytilová, Filip Matějka",Attention Discrimination: Theory and Field Experiments with Monitoring Information Acquisition,American Economic Review,10.1257/aer.20140571,Completed,,,,
Sansani (2019),2017,2019,Israel,ISR,Unclassified,Both,0.768,Shahar Sansani,Are the Religiously Observant Discriminated Against in the Rental Housing Market? Experimental Evidence from Israel,Journal for the Scientific Study of Religion,10.1111/jssr.12596,Completed,,,,
Sugasawa and Harano (2023),2020,2023,Japan,JPN,Asian,Male,0.913,"Takeru Sugasawa, Kei Harano",A field experiment on discrimination against foreigners in the rental housing market in Japan examining the 23 wards of Tokyo,Journal of The Japanese and International Economies,10.1016/j.jjie.2023.101273,Completed,,,,
Sugasawa and Harano (2023),2020,2023,Japan,JPN,Asian,Male,0.688,"Takeru Sugasawa, Kei Harano",A field experiment on discrimination against foreigners in the rental housing market in Japan examining the 23 wards of Tokyo,Journal of The Japanese and International Economies,10.1016/j.jjie.2023.101273,Completed,,,,
Martiniello and Verhaeghe (2023),2021,2023,Belgium,BEL,Moroccan,Both,0.727,"Pieter-Paul Verhaeghe, Billie Martiniello, Marek Endrich, Lisa Van Landschoot",Ethnic discrimination on the shared short-term rental market of Airbnb: evidence from a correspondence study in Belgium,International Journal of Hospitality Management,10.1016/j.ijhm.2022.103423,Completed,,,,
Martiniello and Verhaeghe (2023),2021,2023,Belgium,BEL,Eastern European,Both,0.865,"Pieter-Paul Verhaeghe, Billie Martiniello, Marek Endrich, Lisa Van Landschoot",Ethnic discrimination on the shared short-term rental market of Airbnb: evidence from a correspondence study in Belgium,International Journal of Hospitality Management,10.1016/j.ijhm.2022.103423,Completed,,,,
Martiniello and Verhaeghe (2023),2021,2023,Belgium,BEL,Moroccan,Both,0.474,"Pieter-Paul Verhaeghe, Billie Martiniello, Marek Endrich, Lisa Van Landschoot",Ethnic discrimination on the shared short-term rental market of Airbnb: evidence from a correspondence study in Belgium,International Journal of Hospitality Management,10.1016/j.ijhm.2022.103423,Completed,,,,
Martiniello and Verhaeghe (2023),2021,2023,Belgium,BEL,Eastern European,Both,0.715,"Pieter-Paul Verhaeghe, Billie Martiniello, Marek Endrich, Lisa Van Landschoot",Ethnic discrimination on the shared short-term rental market of Airbnb: evidence from a correspondence study in Belgium,International Journal of Hospitality Management,10.1016/j.ijhm.2022.103423,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Both,0.693,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Female,0.742,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Male,0.513,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Both,0.656,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Female,0.729,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Male,0.365,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Both,0.701,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Female,0.665,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Male,0.554,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Both,0.615,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Female,0.664,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
Liu and Rommel (2023),2019,2023,China,CHN,Uighur,Male,0.598,"Ziming Liu, Jens Rommel",Unequal treatment in the rental housing markets of four Chinese megacities,Journal of Housing Economics,10.1016/j.jhe.2023.101945,Completed,,,,
"Lacroix, et al. (2023)",2018,2023,Switzerland,CHE,Turkish/Muslim,Both,0.842,"Julie Lacroix, Didier Ruedin, Eva Zschirnt",Discrimination driven by variation in social and economic conservatism: evidence from a nationwide field experiment,European Sociological Review,10.1093/esr/jcac051,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Moroccan,Female,0.51,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Moroccan,Female,0.6,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Eastern European,Female,0.679,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Eastern European,Female,0.823,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Moroccan,Male,0.72,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Moroccan,Male,0.833,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Eastern European,Male,1.089,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Ghekiere et al (2023),2021,2023,Belgium,BEL,Eastern European,Male,1.218,"Abel Ghekiere, Billie Martiniello, Pieter-Paul Verhaeghe",Identifying rental discrimination on the Flemish housing market: an intersectional approach,Ethnic and Racial Studies,10.1080/01419870.2023.2177120,Completed,,,,
Verhaeghe and Coninck (2022),2019,2022,Belgium,BEL,Moroccan,Both,0.581,"Pieter-Paul Verhaeghe, David De Coninck","Rental discrimination, perceived threat and public attitudes towards immigration and refugees",Ethnic and Racial Studies,10.1080/01419870.2021.1939092,Completed,,,,
Martiniello and Verhaeghe (2022),2020,2022,Belgium,BEL,Maghrebian,Both,0.696,"Billie Martiniello, Pieter-Paul Verhaeghe",Does the neighbourhood of the dwelling and the real estate agency matter? Geographical differences in ethnic discrimination on the rental housing market,Urban Studies,10.1177/00420980221086502,Completed,,,,
Martiniello and Verhaeghe (2022),2020,2022,Belgium,BEL,Congolese,Both,0.69,"Billie Martiniello, Pieter-Paul Verhaeghe",Does the neighbourhood of the dwelling and the real estate agency matter? Geographical differences in ethnic discrimination on the rental housing market,Urban Studies,10.1177/00420980221086502,Completed,,,,
Martiniello and Verhaeghe (2022),2020,2022,Belgium,BEL,Maghrebian,Both,0.534,"Billie Martiniello, Pieter-Paul Verhaeghe",Does the neighbourhood of the dwelling and the real estate agency matter? Geographical differences in ethnic discrimination on the rental housing market,Urban Studies,10.1177/00420980221086502,Completed,,,,
Martiniello and Verhaeghe (2022),2020,2022,Belgium,BEL,Congolese,Both,0.895,"Billie Martiniello, Pieter-Paul Verhaeghe",Does the neighbourhood of the dwelling and the real estate agency matter? Geographical differences in ethnic discrimination on the rental housing market,Urban Studies,10.1177/00420980221086502,Completed,,,,
Martiniello and Verhaeghe (2022),2020,2022,Belgium,BEL,Moroccan,Both,0.611,"Billie Martiniello, Pieter-Paul Verhaeghe",Does the neighbourhood of the dwelling and the real estate agency matter? Geographical differences in ethnic discrimination on the rental housing market,Urban Studies,10.1177/00420980221086502,Completed,,,,
Ghekiere and Verhaeghe (2022),2019,2022,Belgium,BEL,Maghrebian,Female,0.986,"Abel Ghekiere, Pieter-Paul Verhaeghe",How does ethnic discrimination on the housing market differ across neighborhoods and real estate agencies?,Journal of Housing Economics,10.1016/j.jhe.2021.101820,Completed,,,,
Ghekiere and Verhaeghe (2022),2019,2022,Belgium,BEL,Maghrebian,Male,0.392,"Abel Ghekiere, Pieter-Paul Verhaeghe",How does ethnic discrimination on the housing market differ across neighborhoods and real estate agencies?,Journal of Housing Economics,10.1016/j.jhe.2021.101820,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,0.736,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,0.753,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Female,0.642,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Female,0.845,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.562,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.42,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Male,0.492,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Male,0.243,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,1.069,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,0.607,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Female,0.538,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Female,0.579,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.875,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.667,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Male,0.935,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Male,0.765,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,1.205,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,0.893,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Female,0.945,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Female,0.791,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.459,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.254,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Male,0.289,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Male,0.137,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,1.307,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Female,0.791,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Female,0.567,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Female,0.567,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.226,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Asian,Male,0.307,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Black/African,Male,0.661,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Bao (2024),2022,2024,UK,GBR,Eastern European,Male,0.477,Helen X. H. Bao,Is hiding my first name enough? Using behavioural interventions to mitigate racial and gender discrimination in the rental housing market,Urban Studies,10.1177/00420980241231712,Completed,,,,
Ahmeda and Bandick (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Both,1.031,"Ali Ahmed, Roger Bandick",A field experiment on ethnic bias in public housing practices in Sweden,Housing Studies,10.1080/02673037.2024.2374918,Completed,,,,
Ahmeda and Bandick (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Both,0.569,"Ali Ahmed, Roger Bandick",A field experiment on ethnic bias in public housing practices in Sweden,Housing Studies,10.1080/02673037.2024.2374918,Completed,,,,
Ahmeda and Bandick (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Both,1.117,"Ali Ahmed, Roger Bandick",A field experiment on ethnic bias in public housing practices in Sweden,Housing Studies,10.1080/02673037.2024.2374918,Completed,,,,
Ahmeda and Bandick (2024),2022,2024,Sweden,SWE,Arabic/Muslim,Both,0.162,"Ali Ahmed, Roger Bandick",A field experiment on ethnic bias in public housing practices in Sweden,Housing Studies,10.1080/02673037.2024.2374918,Completed,,,,
"Auspurg, Lorenz and Schneck (2023)",2015,2023,Germany,DEU,Arabic/Muslim,Male,0.653,"Katrin Auspurg, Renate Lorenz, Andreas Schneck",Does Unprecedented Mass Immigration Fuel Ethnic Discrimination? A Two-Wave Field Experiment in the German Housing Market,Sociological Science,10.15195/v10.a22,Completed,,,,
"Bonnet, Lalé, Safi and Wasmer (2016)",2005,2016,France,FRA,Black/African,Both,0.644,"François Bonnet, Etienne Lalé, Mirna Safi, Etienne Wasmer",Better residential than ethnic discrimination! Reconciling audit and interview findings in the Parisian housing market,Urban Studies,10.1177/0042098015596107,Completed,,,,
"Bonnet, Lalé, Safi and Wasmer (2016)",2005,2016,France,FRA,Black/African,Both,1.231,"François Bonnet, Etienne Lalé, Mirna Safi, Etienne Wasmer",Better residential than ethnic discrimination! Reconciling audit and interview findings in the Parisian housing market,Urban Studies,10.1177/0042098015596107,Completed,,,,
"Chareyron, Horty, Mbaye and Petit (2023)",2019,2023,France,FRA,Black/African,Both,0.713,"Sylvain Chareyron, Yannick L'Horty, Souleymane Mbaye, Pascale Petit",Reducing ethnic discrimination through formal warning: Evidence from two combined field experiments,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2022.103850,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Black/African,Both,0.329,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Hispanic/Latino,Both,0.68,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Black/African,Both,0.403,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Hispanic/Latino,Both,0.876,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Black/African,Both,0.987,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
"Christensen, Sarmiento-Barbieri and Timmins (2022)",2019,2022,USA,USA,Hispanic/Latino,Both,1.644,"Peter Christensen, Christopher Timmins",Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,Journal of Political Economy,10.1086/720140,Completed,,,,
Gaddis and Ghoshal (2015),2015,2015,USA,USA,Arabic/Muslim,Female,0.553,"Gaddis, S. M. and R. Ghoshal","Arab American Housing Discrimination, Ethnic Competition, and the Contact Hypothesis",Annals of the American Academy of Political and Social Science,,Completed,,,,
Gaddis and Ghoshal (2015),2015,2015,USA,USA,Arabic/Muslim,Female,0.521,"Gaddis, S. M. and R. Ghoshal","Arab American Housing Discrimination, Ethnic Competition, and the Contact Hypothesis",Annals of the American Academy of Political and Social Science,,Completed,,,,
Gaddis and Ghoshal (2015),2015,2015,USA,USA,Arabic/Muslim,Female,0.791,"Gaddis, S. M. and R. Ghoshal","Arab American Housing Discrimination, Ethnic Competition, and the Contact Hypothesis",Annals of the American Academy of Political and Social Science,,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.49,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.58,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.417,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.667,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Black/African,Both,0.455,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Hispanic/Latino,Both,0.345,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.522,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.704,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.128,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.961,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.569,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.691,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,1.108,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.699,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
Gaddis and Ghoshal (2020),2014,2020,USA,USA,Asian,Both,0.448,"S. Michael Gaddis, Raj Ghoshal",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,Socius,10.1177/2378023120972287,Completed,,,,
